thai sentence,english sentence,thai phoneme,english phoneme
แม้ว่าฉันจะเหนื่อยมาก แต่ก็รู้สึกภูมิใจที่ได้ทำงานสำเร็จตามที่ตั้งใจไว้,"Even though I'm very tired, I feel proud to have completed the work as intended.",m ɛː4 w aː3 _ cʰ a5 n _ c a2 _ n ɯːa2 j _ m aː3 k _ t ɛː2 _ k ᴐː3 _ r uː4 s ɯ2 k _ pʰ uː m c a j _ tʰ iː3 _ d aː3 j _ tʰ a m ŋ aː n _ s a5 m r e2 t _ t aː m _ tʰ iː3 _ t a3 ŋ c a j _ w a4 j,"iː v ə n _ ð oʊ _ aɪ m _ v ɛ ɹ i _ t aɪɚ d , _ aɪ _ f iː l _ p ɹ aʊ d _ t ə _ h æ v _ k ə m p l iː ɾ ᵻ d _ ð ə _ w ɜː k _ æ z _ ɪ n t ɛ n d ᵻ d ."
ถ้าเราต้องการประสบความสำเร็จ เราควรตั้งเป้าหมายและพยายามอย่างเต็มที่เพื่อให้ไปถึง,"If we want to succeed, we should set goals and try our best to achieve them.",tʰ aː3 _ r a w _ t ᴐː3 ŋ k aː n _ pr a2 s o2 p kʰw aː m s a5 m r e2 t _ r a w _ kʰ uːa n _ t a3 ŋ p a3 w m aː5 j _ l ɛ4 _ pʰ a4 j aː j aː m _ j aː2 ŋ _ t e m tʰ iː3 _ pʰ ɯːa3 _ h a3 j _ p a j _ tʰ ɯ5 ŋ,"ɪ f _ w iː _ w ɑː n t _ t ə _ s ə k s iː d , _ w iː _ ʃ ʊ d _ s ɛ t _ ɡ oʊ l z _ æ n d _ t ɹ aɪ _ aʊ ɚ _ b ɛ s t _ t ʊ _ ɐ tʃ iː v _ ð ɛ m ."
เธอควรพักผ่อนบ้าง อย่าหักโหมงานจนเกินไป เพราะสุขภาพเป็นเรื่องสำคัญ,You should rest sometimes; don't overwork yourself because health is important.,tʰ ɤː _ kʰ uːa n _ pʰ a4 k pʰ ᴐː2 n _ b aː3 ŋ _ j aː2 _ h a2 k h oː5 m _ ŋ aː n _ c o n _ k ɤː n p a j _ pʰr ᴐ4 _ s u2 k kʰ a2 pʰ aː3 p _ p e n _ r ɯːa3 ŋ _ s a5 m kʰ a n,j uː _ ʃ ʊ d _ ɹ ɛ s t _ s ʌ m t aɪ m z ; _ d oʊ n t _ oʊ v ɚ w ɜː k _ j oːɹ s ɛ l f _ b ɪ k ʌ z _ h ɛ l θ _ ɪ z _ ɪ m p oːɹ t ə n t .
พรุ่งนี้ฉันต้องตื่นเช้า เพื่อไปส่งเอกสารสำคัญที่ออฟฟิศก่อนเวลาประชุม,Tomorrow I have to wake up early to deliver important documents to the office before the meeting time.,pʰr u3 ŋ n iː4 _ cʰ a5 n _ t ᴐː3 ŋ _ t ɯː2 n _ cʰ a4 w _ pʰ ɯːa3 _ p a j _ s o2 ŋ _ ʔ eː2 k k a2 s aː5 n _ s a5 m kʰ a n _ tʰ iː3 _ ʔ ᴐː2 p f i4 t _ k ᴐː2 n _ w eː l aː _ pr a2 cʰ u m,t ə m ɔː ɹ oʊ _ aɪ _ h æ v _ t ə _ w eɪ k _ ʌ p _ ɜː l i _ t ə _ d ɪ l ɪ v ɚ ɹ _ ɪ m p oːɹ t ə n t _ d ɑː k j uː m ə n t s _ t ə _ ð ɪ _ ɑː f ɪ s _ b ɪ f oːɹ _ ð ə _ m iː ɾ ɪ ŋ _ t aɪ m .
ฉันกำลังหาหนังสือที่น่าสนใจอ่าน ถ้าคุณมีเรื่องไหนแนะนำ ช่วยบอกฉันด้วย,"I'm looking for an interesting book to read; if you have any recommendations, please let me know.",cʰ a5 n _ k a m l a ŋ _ h aː5 _ n a5 ŋ s ɯː5 _ tʰ iː3 _ n aː3 s o5 n c a j _ ʔ aː2 n _ tʰ aː3 _ kʰ u n _ m iː _ r ɯːa3 ŋ _ n a5 j _ n ɛ4 n a m _ cʰ uːa3 j _ b ᴐː2 k _ cʰ a5 n _ d uːa3 j,"aɪ m _ l ʊ k ɪ ŋ _ f ɚ ɹ ə n _ ɪ n t ɹ ə s t ɪ ŋ _ b ʊ k _ t ə _ ɹ iː d ; _ ɪ f _ j uː _ h æ v _ ɛ n i _ ɹ ɛ k ə m ɛ n d eɪ ʃ ə n z , _ p l iː z _ l ɛ t _ m iː _ n oʊ ."
ถึงแม้ว่าเราจะพบกับอุปสรรคมากมาย แต่ก็ไม่ควรยอมแพ้และควรสู้ต่อไป,"Even though we encounter many obstacles, we shouldn't give up and should keep fighting.",tʰ ɯ5 ŋ m ɛː4 w aː3 _ r a w _ c a2 _ pʰ o4 p _ k a2 p _ ʔ u2 p a2 s a2 k _ m aː3 k m aː j _ t ɛː2 _ k ᴐː3 _ m a3 j _ kʰ uːa n _ j ᴐː m pʰ ɛː4 _ l ɛ4 _ kʰ uːa n _ s uː3 _ t ᴐː2 p a j,"iː v ə n _ ð oʊ _ w iː _ ɛ n k aʊ n t ɚ _ m ɛ n i _ ɑː b s t ə k əl z , _ w iː _ ʃ ʊ d ə n t _ ɡ ɪ v _ ʌ p _ æ n d _ ʃ ʊ d _ k iː p _ f aɪ ɾ ɪ ŋ ."
เมื่อไหร่ที่คุณมีปัญหา สามารถปรึกษาฉันได้เสมอ ฉันยินดีที่จะช่วยเหลือ,"Whenever you have problems, you can always consult me; I'm happy to help.",m ɯːa3 r a2 j _ tʰ iː3 _ kʰ u n _ m iː _ p a n h aː5 _ s aː5 m aː3 t _ pr ɯ2 k s aː5 _ cʰ a5 n _ d aː3 j _ s a2 m ɤː5 _ cʰ a5 n _ j i n d iː _ tʰ iː3 _ c a2 _ cʰ uːa3 j l ɯːa5,"w ɛ n ɛ v ɚ _ j uː _ h æ v _ p ɹ ɑː b l ə m z , _ j uː _ k æ n _ ɔː l w eɪ z _ k ə n s ʌ l t _ m iː ; _ aɪ m _ h æ p i _ t ə _ h ɛ l p ."
ฉันอยากเรียนรู้ภาษาใหม่ เพราะจะได้สื่อสารกับคนต่างชาติได้ดีขึ้น,I want to learn a new language so I can communicate better with foreigners.,cʰ a5 n _ j aː2 k _ r iːa n r uː4 _ pʰ aː s aː5 _ m a2 j _ pʰr ᴐ4 _ c a2 _ d aː3 j _ s ɯː2 s aː5 n _ k a2 p _ kʰ o n t aː2 ŋ cʰ aː3 t _ d aː3 j _ d iː _ kʰ ɯ3 n,aɪ _ w ɑː n t _ t ə _ l ɜː n _ ɐ _ n uː _ l æ ŋ ɡ w ɪ dʒ _ s oʊ _ aɪ _ k æ n _ k ə m j uː n ᵻ k eɪ t _ b ɛ ɾ ɚ _ w ɪ ð _ f ɔː ɹ ə n ɚ z .
ก่อนเดินทางไปต่างประเทศ ควรตรวจสอบเอกสารและเตรียมความพร้อมให้เรียบร้อย,"Before traveling abroad, you should check your documents and prepare everything properly.",k ᴐː2 n _ d ɤː n tʰ aː ŋ _ p a j _ t aː2 ŋ pr a2 tʰ eː3 t _ kʰ uːa n _ tr uːa2 t s ᴐː2 p _ ʔ eː2 k k a2 s aː5 n _ l ɛ4 _ tr iːa m _ kʰw aː m pʰr ᴐː4 m _ h a3 j _ r iːa3 p r ᴐː4 j,"b ɪ f oːɹ _ t ɹ æ v ə l ɪ ŋ _ ɐ b ɹ ɔː d , _ j uː _ ʃ ʊ d _ tʃ ɛ k _ j ʊɹ _ d ɑː k j uː m ə n t s _ æ n d _ p ɹ ɪ p ɛ ɹ _ ɛ v ɹ ɪ θ ɪ ŋ _ p ɹ ɑː p ɚ l i ."
เขาชื่นชอบการถ่ายภาพธรรมชาติ โดยเฉพาะภาพพระอาทิตย์ขึ้นและตก,"He loves photographing nature, especially sunrises and sunsets.",kʰ a5 w _ cʰ ɯː3 n cʰ ᴐː3 p _ k aː n _ tʰ aː2 j pʰ aː3 p _ tʰ a m m a4 cʰ aː3 t _ d oː j cʰ a2 pʰ ᴐ4 _ pʰ aː3 p _ pʰr a4 ʔ aː tʰ i4 t _ kʰ ɯ3 n _ l ɛ4 _ t o2 k,"h iː _ l ʌ v z _ f oʊ ɾ ə ɡ ɹ æ f ɪ ŋ _ n eɪ tʃ ɚ , _ ɪ s p ɛ ʃ əl i _ s ʌ n ɹ aɪ z ᵻ z _ æ n d _ s ʌ n s ɛ t s ."
ถ้าเรามีความอดทนและพยายาม ไม่ว่าอะไรก็สามารถสำเร็จได้,"If we have patience and perseverance, anything can be accomplished.",tʰ aː3 _ r a w _ m iː _ kʰw aː m _ ʔ o2 t tʰ o n _ l ɛ4 _ pʰ a4 j aː j aː m _ m a3 j w aː3 _ ʔ a2 r a j _ k ᴐː3 _ s aː5 m aː3 t _ s a5 m r e2 t _ d aː3 j,"ɪ f _ w iː _ h æ v _ p eɪ ʃ ə n s _ æ n d _ p ɜː s ɪ v ɪ ɹ ə n s , _ ɛ n ɪ θ ɪ ŋ _ k æ n _ b iː _ ɐ k ɑː m p l ɪ ʃ t ."
เธอควรลองชิมอาหารจานนี้ มันอร่อยมากและเป็นเมนูขึ้นชื่อของร้าน,You should try this dish; it's very delicious and a signature menu item of the restaurant.,tʰ ɤː _ kʰ uːa n _ l ᴐː ŋ _ cʰ i m _ ʔ aː h aː5 n _ c aː n _ n iː4 _ m a n _ ʔ a2 r ᴐː2 j _ m aː3 k _ l ɛ4 _ p e n _ m eː n uː _ kʰ ɯ3 n cʰ ɯː3 _ kʰ ᴐː5 ŋ _ r aː4 n,j uː _ ʃ ʊ d _ t ɹ aɪ _ ð ɪ s _ d ɪ ʃ ; _ ɪ t s _ v ɛ ɹ i _ d ɪ l ɪ ʃ ə s _ æ n d _ ɐ _ s ɪ ɡ n ɪ tʃ ɚ _ m ɛ n j uː _ aɪ ɾ ə m _ ʌ v ð ə _ ɹ ɛ s t ɹ ɑː n t .
ฉันกำลังคิดจะซื้อต้นไม้มาปลูกในบ้าน เพื่อเพิ่มความสดชื่นและความสวยงาม,I'm thinking of buying plants to grow in the house to add freshness and beauty.,cʰ a5 n _ k a m l a ŋ _ kʰ i4 t _ c a2 _ s ɯː4 _ t o3 n m aː4 j _ m aː _ pl uː2 k _ n a j _ b aː3 n _ pʰ ɯːa3 _ pʰ ɤː3 m _ kʰw aː m _ s o2 t cʰ ɯː3 n _ l ɛ4 _ kʰw aː m _ s uːa5 j ŋ aː m,aɪ m _ θ ɪ ŋ k ɪ ŋ _ ʌ v _ b aɪ ɪ ŋ _ p l æ n t s _ t ə _ ɡ ɹ oʊ _ ɪ n ð ə _ h aʊ s _ t ʊ _ æ d _ f ɹ ɛ ʃ n ə s _ æ n d _ b j uː ɾ i .
แม้ว่าวันนี้จะมีงานยุ่ง แต่ฉันก็จะพยายามหาเวลาไปพบคุณให้ได้,"Even though today is busy, I will try to find time to meet you.",m ɛː4 w aː3 _ w a n n iː4 _ c a2 _ m iː _ ŋ aː n _ j u3 ŋ _ t ɛː2 _ cʰ a5 n _ k ᴐː3 _ c a2 _ pʰ a4 j aː j aː m _ h aː5 _ w eː l aː _ p a j _ pʰ o4 p _ kʰ u n _ h a3 j _ d aː3 j,"iː v ə n _ ð oʊ _ t ə d eɪ _ ɪ z _ b ɪ z i , _ aɪ _ w ɪ l _ t ɹ aɪ _ t ə _ f aɪ n d _ t aɪ m _ t ə _ m iː t _ j uː ."
ฉันตั้งใจว่าจะเริ่มออกกำลังกายทุกเช้า เพื่อสุขภาพที่ดีและร่างกายที่แข็งแรง,I intend to start exercising every morning for good health and a strong body.,cʰ a5 n _ t a3 ŋ c a j _ w aː3 _ c a2 _ r ɤː3 m _ ʔ ᴐː2 k k a m l a ŋ k aː j _ tʰ u4 k _ cʰ a4 w _ pʰ ɯːa3 _ s u2 k kʰ a2 pʰ aː3 p _ tʰ iː3 _ d iː _ l ɛ4 _ r aː3 ŋ k aː j _ tʰ iː3 _ kʰ ɛ5 ŋ r ɛː ŋ,aɪ _ ɪ n t ɛ n d _ t ə _ s t ɑːɹ t _ ɛ k s ɚ s aɪ z ɪ ŋ _ ɛ v ɹ i _ m ɔːɹ n ɪ ŋ _ f ɔːɹ _ ɡ ʊ d _ h ɛ l θ _ æ n d _ ɐ _ s t ɹ ɔ ŋ _ b ɑː d i .
เธอได้ยินข่าวล่าสุดเกี่ยวกับการเปิดตัวสินค้าใหม่ของบริษัทนั้นไหม,Have you heard the latest news about that company's new product launch?,tʰ ɤː _ d aː3 j j i n _ kʰ aː2 w _ l aː3 s u2 t _ k iːa2 w k a2 p _ k aː n _ p ɤː2 t t uːa _ s i5 n kʰ aː4 _ m a2 j _ kʰ ᴐː5 ŋ _ b ᴐː r i4 s a2 t _ n a4 n _ m a5 j,h æ v _ j uː _ h ɜː d _ ð ə _ l eɪ ɾ ə s t _ n uː z _ ɐ b aʊ t _ ð æ t _ k ʌ m p ə n i z _ n uː _ p ɹ ɑː d ʌ k t _ l ɑː n tʃ ?
ในช่วงวันหยุดยาวนี้ เราวางแผนจะไปเที่ยวต่างจังหวัดกับครอบครัว,"During this long holiday, we plan to travel upcountry with the family.",n a j _ cʰ uːa3 ŋ _ w a n j u2 t j aː w _ n iː4 _ r a w _ w aː ŋ pʰ ɛː5 n _ c a2 _ p a j _ tʰ iːa3 w _ t aː2 ŋ c a ŋ w a2 t _ k a2 p _ kʰr ᴐː3 p kʰr uːa,"d ʊ ɹ ɪ ŋ _ ð ɪ s _ l ɑː ŋ _ h ɑː l ɪ d eɪ , _ w iː _ p l æ n _ t ə _ t ɹ æ v əl _ ʌ p k ʌ n t ɹ i _ w ɪ ð ð ə _ f æ m ɪ l i ."
ฉันชอบดื่มกาแฟทุกเช้า เพราะมันช่วยให้ฉันตื่นตัวและพร้อมเริ่มงาน,I like to drink coffee every morning because it helps me stay alert and ready to start work.,cʰ a5 n _ cʰ ᴐː3 p _ d ɯː2 m _ k aː f ɛː _ tʰ u4 k _ cʰ a4 w _ pʰr ᴐ4 _ m a n _ cʰ uːa3 j _ h a3 j _ cʰ a5 n _ t ɯː2 n t uːa _ l ɛ4 _ pʰr ᴐː4 m _ r ɤː3 m _ ŋ aː n,aɪ _ l aɪ k _ t ə _ d ɹ ɪ ŋ k _ k ɔ f i _ ɛ v ɹ i _ m ɔːɹ n ɪ ŋ _ b ɪ k ʌ z _ ɪ t _ h ɛ l p s _ m iː _ s t eɪ _ ɐ l ɜː t _ æ n d _ ɹ ɛ d i _ t ə _ s t ɑːɹ t _ w ɜː k .
ถ้าเราร่วมมือกัน ทำงานนี้ให้เสร็จ เราจะมีเวลาไปพักผ่อนมากขึ้น,"If we collaborate to finish this work, we'll have more time to relax.",tʰ aː3 _ r a w _ r uːa3 m m ɯː _ k a n _ tʰ a m ŋ aː n _ n iː4 _ h a3 j _ s e2 t _ r a w _ c a2 _ m iː _ w eː l aː _ p a j _ pʰ a4 k pʰ ᴐː2 n _ m aː3 k _ kʰ ɯ3 n,"ɪ f _ w iː _ k ə l æ b ɚ ɹ eɪ t _ t ə _ f ɪ n ɪ ʃ _ ð ɪ s _ w ɜː k , _ w iː l _ h æ v _ m oːɹ _ t aɪ m _ t ə _ ɹ ɪ l æ k s ."
เขาเป็นคนที่มีความสามารถและมุ่งมั่น ทำให้ประสบความสำเร็จในหน้าที่การงาน,"He is talented and dedicated, which makes him successful in his career.",kʰ a5 w _ p e n _ kʰ o n _ tʰ iː3 _ m iː _ kʰw aː m s aː5 m aː3 t _ l ɛ4 _ m u3 ŋ m a3 n _ tʰ a m h a3 j _ pr a2 s o2 p kʰw aː m s a5 m r e2 t _ n a j _ n aː3 tʰ iː3 k aː n ŋ aː n,"h iː _ ɪ z _ t æ l ə n t ᵻ d _ æ n d _ d ɛ d ᵻ k eɪ ɾ ᵻ d , _ w ɪ tʃ _ m eɪ k s _ h ɪ m _ s ə k s ɛ s f əl _ ɪ n _ h ɪ z _ k ɚ ɹ ɪɹ ."
ฉันกำลังมองหาของขวัญพิเศษสำหรับวันเกิดของแม่ คุณมีอะไรแนะนำไหม,I'm looking for a special gift for my mother's birthday; do you have any suggestions?,cʰ a5 n _ k a m l a ŋ _ m ᴐː ŋ h aː5 _ kʰ ᴐː5 ŋ kʰw a5 n _ pʰ i4 s eː2 t _ s a5 m r a2 p _ w a n k ɤː2 t _ kʰ ᴐː5 ŋ _ m ɛː3 _ kʰ u n _ m iː _ ʔ a2 r a j _ n ɛ4 n a m _ m a5 j,aɪ m _ l ʊ k ɪ ŋ _ f ɚ ɹ ə _ s p ɛ ʃ əl _ ɡ ɪ f t _ f ɔːɹ _ m aɪ _ m ʌ ð ɚ z _ b ɜː θ d eɪ ; _ d uː _ j uː _ h æ v _ ɛ n i _ s ə dʒ ɛ s tʃ ə n z ?
แม้ว่าวันนี้จะเหนื่อย แต่ฉันก็มีความสุขที่ได้ช่วยเหลือผู้อื่น,"Even though I'm tired today, I'm happy that I could help others.",m ɛː4 w aː3 _ w a n n iː4 _ c a2 _ n ɯːa2 j _ t ɛː2 _ cʰ a5 n _ k ᴐː3 _ m iː _ kʰw aː m s u2 k _ tʰ iː3 _ d aː3 j _ cʰ uːa3 j l ɯːa5 _ pʰ uː3 ʔ ɯː2 n,"iː v ə n _ ð oʊ _ aɪ m _ t aɪɚ d _ t ə d eɪ , _ aɪ m _ h æ p i _ ð æ t _ aɪ _ k ʊ d _ h ɛ l p _ ʌ ð ɚ z ."
การอ่านหนังสือก่อนนอนจะช่วยให้เราผ่อนคลายและนอนหลับสบายขึ้น,Reading a book before bed helps us relax and sleep better.,k aː n _ ʔ aː2 n n a5 ŋ s ɯː5 _ k ᴐː2 n _ n ᴐː n _ c a2 _ cʰ uːa3 j _ h a3 j _ r a w _ pʰ ᴐː2 n kʰl aː j _ l ɛ4 _ n ᴐː n l a2 p _ s a2 b aː j _ kʰ ɯ3 n,ɹ iː d ɪ ŋ _ ɐ _ b ʊ k _ b ɪ f oːɹ _ b ɛ d _ h ɛ l p s _ ʌ s _ ɹ ɪ l æ k s _ æ n d _ s l iː p _ b ɛ ɾ ɚ .
ถ้าคุณต้องการความช่วยเหลือเพิ่มเติม กรุณาติดต่อฉันได้ทุกเมื่อ,"If you need any further assistance, please feel free to contact me anytime.",tʰ aː3 _ kʰ u n _ t ᴐː3 ŋ k aː n _ kʰw aː m _ cʰ uːa3 j l ɯːa5 _ pʰ ɤː3 m t ɤː m _ k a2 r u4 n aː _ t i2 t t ᴐː2 _ cʰ a5 n _ d aː3 j _ tʰ u4 k m ɯːa3,"ɪ f _ j uː _ n iː d _ ɛ n i _ f ɜː ð ɚ ɹ _ ɐ s ɪ s t ə n s , _ p l iː z _ f iː l _ f ɹ iː _ t ə _ k ɑː n t æ k t _ m iː _ ɛ n ɪ t aɪ m ."
