cosine similarity,line1,sentence1,line2,sentence2
0.986,1183,ฉันตั้งใจว่าจะออกกำลังกายทุกวันเพื่อสุขภาพที่ดีขึ้น,2255,ฉันตั้งใจว่าจะออกกำลังกายทุกวันเพื่อสุขภาพที่แข็งแรงขึ้น
0.986,1969,ฉันตั้งใจว่าจะออกกำลังกายทุกวันเพื่อสุขภาพที่ดีขึ้น,2255,ฉันตั้งใจว่าจะออกกำลังกายทุกวันเพื่อสุขภาพที่แข็งแรงขึ้น
0.986,538,ฉันชอบอ่านหนังสือก่อนนอน เพราะทำให้ผ่อนคลายและหลับสบายขึ้น,2016,ฉันชอบอ่านหนังสือก่อนนอน เพราะมันทำให้ฉันผ่อนคลาย
0.986,1748,แม่ค้าที่ร้านขายของชำมักจะจัดของให้เป็นระเบียบ และติดป้ายราคาชัดเจน,1785,แม่ค้าที่ร้านขายของชำจัดร้านเป็นระเบียบ และติดป้ายราคาชัดเจน
0.986,74,ถ้าเราช่วยเหลือผู้อื่น โลกนี้ก็จะน่าอยู่ขึ้นสำหรับทุกคน,1431,ถ้าเราช่วยเหลือผู้อื่น โลกจะน่าอยู่ยิ่งขึ้น
0.986,98,ถ้าเรามองโลกในแง่บวก ชีวิตก็จะเต็มไปด้วยความสุขและความหวัง,1678,ถ้าเรามองโลกในแง่ดี ชีวิตก็จะเต็มไปด้วยความสุขและความหวัง
0.986,1649,ถ้าคุณพร้อมแล้ว เราสามารถเริ่มการประชุมได้ทันที,1943,ถ้าคุณพร้อมแล้ว เราจะเริ่มประชุมได้ทันที
0.986,872,แม้ว่างานจะยากและท้าทาย แต่ฉันก็จะพยายามทำให้ดีที่สุดเท่าที่ฉันจะทำได้,1004,แม้ว่างานจะยาก แต่ฉันก็จะทำให้ดีที่สุดเท่าที่จะทำได้
0.986,1398,ถ้าคุณมีคำถามเพิ่มเติม กรุณาติดต่อฉันได้ทุกเมื่อ,1643,หากคุณมีคำถามเพิ่มเติม กรุณาติดต่อฉันได้ตลอดเวลา
0.986,32,ฉันกำลังมองหาของขวัญพิเศษสำหรับวันเกิดของแม่ คุณมีอะไรแนะนำไหม,2039,ฉันกำลังมองหาของขวัญพิเศษสำหรับวันเกิดของแม่
0.986,1731,แม่ค้าที่ร้านขายของชำมักจะจดจำลูกค้าประจำได้ และชอบพูดคุยอย่างเป็นกันเอง,1762,แม่ค้าที่ร้านขายของชำมักจะจดจำลูกค้าประจำได้ และทักทายอย่างเป็นกันเอง
0.985,9,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้ฉันรู้สึกผ่อนคลายและสนุกสนาน,1927,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้ผ่อนคลาย
0.985,311,ฉันตั้งใจว่าจะออกกำลังกายทุกวันเพื่อสุขภาพที่ดี,2255,ฉันตั้งใจว่าจะออกกำลังกายทุกวันเพื่อสุขภาพที่แข็งแรงขึ้น
0.985,903,การฟังเพลงคลาสสิกช่วยให้ฉันรู้สึกผ่อนคลายและมีสมาธิในการทำงาน,1463,การฟังเพลงคลาสสิกช่วยให้ฉันมีสมาธิในการทำงาน
0.985,365,ฉันกำลังฝึกทักษะการพูดในที่สาธารณะ เพื่อพัฒนาความมั่นใจและศักยภาพตัวเอง,912,ฉันกำลังฝึกพูดในที่สาธารณะ เพื่อเพิ่มความมั่นใจและทักษะการสื่อสาร
0.985,1130,เมื่อไหร่ที่คุณพร้อม เราจะเริ่มประชุมได้ทันที,1943,ถ้าคุณพร้อมแล้ว เราจะเริ่มประชุมได้ทันที
0.985,1632,เธอกำลังฝึกเล่นกีตาร์เพื่อแสดงในงานคอนเสิร์ตของโรงเรียน,2446,เธอกำลังฝึกเล่นกีตาร์เพื่อแสดงในงานโรงเรียน
0.984,1247,ฉันชอบไปเดินเล่นริมชายหาดเพื่อฟังเสียงคลื่นและสัมผัสลมทะเล,2109,ฉันชอบเดินเล่นริมชายหาด และฟังเสียงคลื่นทะเล
0.984,1703,ฉันหวังว่าเราจะมีโอกาสได้ร่วมงานกันอีกในอนาคต,1992,ฉันหวังว่าเราจะสามารถทำงานร่วมกันได้อีกในอนาคต
0.984,297,การวางแผนการเงินที่ดีจะช่วยให้เรามีความมั่นคงในอนาคต,997,ถ้าเราวางแผนการเงินอย่างดี เราจะมีความมั่นคงในอนาคต
0.984,1084,ฉันกำลังเรียนรู้วิธีการถ่ายภาพ เพื่อที่จะเก็บความทรงจำที่สวยงาม,1441,ฉันอยากเรียนรู้วิธีถ่ายภาพ เพื่อเก็บความทรงจำที่สวยงาม
0.984,951,ฉันชอบฟังเพลงขณะทำงาน เพราะมันช่วยให้ฉันมีสมาธิและทำงานได้เร็วขึ้น,1592,ฉันชอบฟังเพลงขณะทำงานเพราะมันช่วยให้ฉันมีสมาธิมากขึ้น
0.984,601,ถ้าเราใส่ใจสุขภาพ เราก็จะมีชีวิตที่ยืนยาวและมีความสุข,2481,ถ้าเราดูแลสุขภาพให้ดี เราจะมีชีวิตที่ยืนยาวและมีความสุข
0.984,1726,แม่ค้าที่ร้านผลไม้มักจะคัดผลไม้อย่างดี และขายในราคาที่เป็นธรรม,1736,แม่ค้าที่ขายผลไม้มักจะคัดเลือกผลไม้อย่างดี แต่ขายในราคาที่เป็นธรรม
0.984,1242,ฉันกำลังมองหาของขวัญที่พิเศษสำหรับวันเกิดของแม่,1606,ฉันกำลังมองหาของขวัญพิเศษสำหรับวันเกิดของแม่ คุณมีคำแนะนำไหม
0.983,318,การใช้เวลาร่วมกับครอบครัวเป็นสิ่งที่มีคุณค่าและสำคัญมาก,1666,การใช้เวลาคุณภาพกับครอบครัวเป็นสิ่งที่มีค่าและสำคัญมาก
0.983,1409,การอ่านหนังสือก่อนนอนช่วยให้ฉันหลับได้ง่ายขึ้น,2270,ฉันคิดว่าการอ่านหนังสือก่อนนอนช่วยให้หลับสบายขึ้น
0.983,1735,คุณครูวิทยาศาสตร์สอนให้เรารู้จักสังเกตธรรมชาติ และทำการทดลองอย่างระมัดระวัง,1761,คุณครูวิทยาศาสตร์สอนให้เรารู้จักสังเกตธรรมชาติ และทำการทดลองอย่างปลอดภัย
0.983,742,การสื่อสารที่ดีเป็นสิ่งสำคัญในการทำงานเป็นทีม,1413,การสื่อสารที่ดีเป็นกุญแจสำคัญในการทำงานเป็นทีม
0.983,1074,ถ้าเราทำงานร่วมกัน เราก็จะสามารถบรรลุเป้าหมายได้เร็วขึ้น,2011,การทำงานร่วมกันทำให้เราบรรลุเป้าหมายได้เร็วขึ้น
0.983,1425,ถ้าเราเรียนรู้จากความผิดพลาด เราก็จะเติบโตขึ้น,1639,เมื่อเราเรียนรู้จากความผิดพลาด เราจะเติบโตและพัฒนายิ่งขึ้น
0.982,1606,ฉันกำลังมองหาของขวัญพิเศษสำหรับวันเกิดของแม่ คุณมีคำแนะนำไหม,2039,ฉันกำลังมองหาของขวัญพิเศษสำหรับวันเกิดของแม่
